run_id,pipeline_name,hit_at_1,hit_at_3,hit_at_5,mrr,natural_student_hit_at_5,canonical_hit_at_5,candidate_recall,p50_latency_ms,p95_latency_ms,peak_memory_mb,decision
phase_h_h3_combined_specialist_priors,synonym_bge_fixed_600_100_combined_specialist_priors,0.4262295081967213,0.7213114754098361,0.819672131147541,0.6011271742829121,0.8,0.8292682926829268,1.0,55.506899996544234,71.16899999527959,688.22265625,retain
phase_h_h4_base_top5,combined_specialists_base_top5,0.4262295081967213,0.7213114754098361,0.819672131147541,0.583879781420765,0.8,0.8292682926829268,1.0,55.508899997221306,71.16939999104943,101.7109375,retain
phase_h_h4_multi_stage_distinct_pages,combined_specialists_multi_stage_distinct_pages,0.4262295081967213,0.7213114754098361,0.819672131147541,0.583879781420765,0.8,0.8292682926829268,1.0,55.58430000382941,71.30349999351893,101.7109375,reject
phase_f_f4_bge_small_page_prior_rrf,bge_small_fixed_600_100_page_prior_rrf,0.39344262295081966,0.639344262295082,0.7868852459016393,0.558088628916313,0.8,0.7804878048780488,1.0,25.12899999783258,30.757699998503085,755.84375,reject
phase_h_h0_formula_equation_context,synonym_bge_fixed_600_100_formula_equation_context,0.39344262295081966,0.6557377049180327,0.8032786885245902,0.5689778118056806,0.8,0.8048780487804879,1.0,55.10589999903459,75.21450000058394,962.8359375,retain
phase_h_h0_visual_caption_context,synonym_bge_fixed_600_100_visual_caption_context,0.3770491803278688,0.7213114754098361,0.819672131147541,0.5723268989662432,0.8,0.8292682926829268,1.0,28.168299999379087,33.73940000165021,962.8359375,retain
phase_h_h0_table_key_value,synonym_bge_fixed_600_100_table_key_value,0.3770491803278688,0.7049180327868853,0.819672131147541,0.5646766257421995,0.8,0.8292682926829268,1.0,28.850700000475626,36.041300001670606,962.8359375,reject
phase_h_h0_table_rows_with_headers,synonym_bge_fixed_600_100_table_rows_with_headers,0.3770491803278688,0.7049180327868853,0.819672131147541,0.567408866179358,0.8,0.8292682926829268,1.0,32.16420000535436,60.495199999422766,962.8359375,retain
phase_h_h1_formula_context_activation_v2,synonym_bge_fixed_600_100_formula_equation_context,0.3770491803278688,0.7049180327868853,0.819672131147541,0.5716189775616005,0.8,0.8292682926829268,1.0,55.19009999989066,84.20650000334717,678.5546875,retain
phase_h_h0_table_flattened,synonym_bge_fixed_600_100_table_flattened,0.3770491803278688,0.6885245901639344,0.819672131147541,0.5633105055236203,0.8,0.8292682926829268,1.0,56.20169999747304,107.13240000040969,962.8359375,reject
phase_h_h1_table_rows_activation_v2,synonym_bge_fixed_600_100_table_rows_with_headers,0.36065573770491804,0.7049180327868853,0.819672131147541,0.5592121448678826,0.8,0.8292682926829268,1.0,51.89010000322014,74.60149999678833,689.66796875,retain
phase_h_h2_formula_context_activation_v3,synonym_bge_fixed_600_100_formula_equation_context,0.36065573770491804,0.7049180327868853,0.819672131147541,0.5634222562501251,0.8,0.8292682926829268,1.0,58.940099996107165,83.66209999803687,684.09375,reject
phase_g_g0_textbook_synonym_expansion,g0_textbook_synonym_expansion,0.3442622950819672,0.7049180327868853,0.819672131147541,0.5510154235564072,0.8,0.8292682926829268,1.0,38.13169999921229,46.68400000082329,693.80078125,retain
phase_g_g1_original_plus_textbook_synonym_expansion,g1_original_plus_textbook_synonym_expansion,0.32786885245901637,0.6885245901639344,0.7868852459016393,0.5280450878811535,0.8,0.7804878048780488,1.0,62.20910000411095,146.46619999984978,673.234375,retain
phase_f_f2_neighbor_expansion,e5_fixed_600_100_neighbor_expansion,0.3114754098360656,0.5409836065573771,0.8032786885245902,0.489534510643225,0.8,0.8048780487804879,1.0,160.62199999942095,203.21709999916493,1814.5,retain
phase_a_a2_weighted_rrf_t070,weighted_rrf_t070,0.29508196721311475,0.6557377049180327,0.7704918032786885,0.4946386551326154,0.8,0.7560975609756098,0.9344262295081968,0.1558999999815569,0.5278500002532382,197.30859375,reject
phase_d_d1_minilm_l6_full_pool,minilm_l6_reranker_rank_plus_rrf_rank,0.22950819672131148,0.5409836065573771,0.7049180327868853,0.42054824461527707,0.8,0.6585365853658537,1.0,5453.341000000364,8091.2974999992,963.53515625,retain
phase_h_h4_coverage_diversity,combined_specialists_coverage_diversity,0.4262295081967213,0.7049180327868853,0.7540983606557377,0.569672131147541,0.75,0.7560975609756098,1.0,55.7766999991145,71.43049999285722,101.7109375,retain
phase_g_g0_formula_symbol_normalization,g0_formula_symbol_normalization,0.36065573770491804,0.6229508196721312,0.7704918032786885,0.5297330053067758,0.75,0.7804878048780488,1.0,33.66649999952642,42.09989999799291,700.6171875,retain
phase_h_h0_formula_equation_lines,synonym_bge_fixed_600_100_formula_equation_lines,0.3442622950819672,0.639344262295082,0.7704918032786885,0.5364726870151172,0.75,0.7804878048780488,1.0,61.77350000507431,86.22250000189524,962.8359375,reject
phase_c_c1_bge_rank_plus_soft_fusion_rank_full_pool,bge_rank_plus_soft_fusion_rank,0.32786885245901637,0.5901639344262295,0.7213114754098361,0.483578800001251,0.75,0.7073170731707317,1.0,36108.37320000064,47023.77029999934,2097.203125,reject
phase_a_a2_plain_rrf_t070,plain_rrf_t070,0.3114754098360656,0.6721311475409836,0.7704918032786885,0.5036906315810543,0.75,0.7804878048780488,0.9508196721311475,0.0012000000424450263,0.005199999804972322,197.30859375,reject
